# 交通词汇

## 北京地铁

一号线 yi'hao'xian
二号线 er'hao'xian
三号线 san'hao'xian
四号线 si'hao'xian
五号线 wu'hao'xian
六号线 liu'hao'xian
七号线 qi'hao'xian
八号线 ba'hao'xian
九号线 jiu'hao'xian
十号线 shi'hao'xian
十一号线 shi'yi'hao'xian
十二号线 shi'er'hao'xian
十三号线 shi'san'hao'xian
十四号线 shi'si'hao'xian
十五号线 shi'wu'hao'xian
十六号线 shi'liu'hao'xian
八通线 ba'tong'xian
大兴线 da'xing'xian
通州线 tong'zhou'xian
昌平线 chang'ping'xian
亦庄线 yi'zhuang'xian
房山线 fang'shan'xian
机场快轨 ji'chang'kuai'gui
机场线 ji'chang'xian

大葆台 da'bao'tai
稻田 dao'tian
长阳 chang'yang
篱笆房 li'ba'fang
广阳城 guang'yang'cheng
良乡大学城北 liang'xiang'da'xue'cheng'bei
良乡大学城 liang'xiang'da'xue'cheng
良乡大学城西 liang'xiang'da'xue'cheng'xi
良乡南关 liang'xiang'nan'guan
苏庄 su'zhuang
生命科学园 sheng'ming'ke'xue'yuan
朱辛庄 zhu'xin'zhuang
巩华城 gong'hua'cheng
沙河 sha'he
沙河高教园 sha'he'gao'jiao'yuan
南邵 nan'shao
安河桥北 an'he'qiao'bei
北宫门 bei'gong'men
西苑 xi'yuan
圆明园 yuan'ming'yuan
北京大学东门 bei'jing'da'xue'dong'men
中关村 zhong'guan'cun
人民大学 ren'min'da'xue
魏公村 wei'gong'cun
国家图书馆 guo'jia'tu'shu'guan
动物园 dong'wu'yuan
新街口 xin'jie'kou
西四 xi'si
灵境胡同 ling'jing'hu'tong
菜市口 cai'shi'kou
陶然亭 tao'ran'ting
北京南站 bei'jing'nan'zhan
马家堡 ma'jia'bao
公益西桥 gong'yi'xi'qiao
新宫 xin'gong
西红门 xi'hong'men
高米店北 gao'mi'dian'bei
高米店南 gao'mi'dian'nan
枣园 zao'yuan
清源路 qing'yuan'lu
黄村西大街 huang'cun'xi'da'jie
黄村火车站 huang'cun'huo'che'zhan
义和庄 yi'he'zhuang
生物医药基地 sheng'wu'yi'yao'ji'di
天宫院 tian'gong'yuan
刘家窑 liu'jia'yao
蒲黄榆 pu'huang'yu
天坛东门 tian'tan'dong'men
磁器口 ci'qi'kou
崇文门 chong'wen'men
灯市口 deng'shi'kou
东四 dong'si
张自忠路 zhang'zi'zhong'lu
北新桥 bei'xin'qiao
和平里北街 he'ping'li'bei'jie
和平西桥 he'ping'xi'qiao
惠新西街北口 hui'xin'xi'jie'bei'kou
大屯路东 da'tun'lu'dong
北苑路北 bei'yuan'lu'bei
立水桥南 li'shui'qiao'nan
天通苑南 tian'tong'yuan'nan
天通苑 tian'tong'yuan
天通苑北 tian'tong'yuan'bei
安华桥 an'hua'qiao
北土城 bei'tu'cheng
奥体中心 ao'ti'zhong'xin
奥林匹克公园 ao'lin'pi'ke'gong'yuan
森林公园南门 sen'lin'gong'yuan'nan'men
林萃桥 lin'cui'qiao
永泰庄 yong'tai'zhuang
西小口 xi'xiao'kou
育新 yu'xin
回龙观东大街 hui'long'guan'dong'da'jie
白石桥南 bai'shi'qiao'nan
白堆子 bai'dui'zi
北京西站 bei'jing'xi'zhan
六里桥东 liu'li'qiao'dong
七里庄 qi'li'zhuang
丰台东大街 feng'tai'dong'da'jie
丰台南路 feng'tai'nan'lu
科怡路 ke'yi'lu
丰台科技园 feng'tai'ke'ji'yuan
郭公庄 guo'gong'zhuang
海淀五路居 hai'dian'wu'lu'ju
慈寿寺 ci'shou'si
花园桥 hua'yuan'qiao
车公庄西 che'gong'zhuang'xi
车公庄 che'gong'zhuang
平安里 ping'an'li
北海北 bei'hai'bei
南锣鼓巷 nan'luo'gu'xiang
朝阳门 chao'yang'men
东大桥 dong'da'qiao
呼家楼 hu'jia'lou
金台路 jin'tai'lu
十里堡 shi'li'bao
青年路 qing'nian'lu
褡裢坡 da'lian'po
黄渠 huang'qu
常营 chang'ying
草房 cao'fang
苹果园 ping'guo'yuan
古城 gu'cheng
八角游乐园 ba'jiao'you'le'yuan
八宝山 ba'bao'shan
玉泉路 yu'quan'lu
五棵松 wu'ke'song
万寿路 wan'shou'lu
公主坟 gong'zhu'fen
军事博物馆 jun'shi'bo'wu'guan
木樨地 mu'xi'di
南礼士路 nan'li'shi'lu
西单 xi'dan
天安门西 tian'an'men'xi
天安门东 tian'an'men'dong
王府井 wang'fu'jing
东单 dong'dan
建国门 jian'guo'men
永安里 yong'an'li
国贸 guo'mao
大望路 da'wang'lu
宋家庄 song'jia'zhuang
肖村 xiao'cun
小红门 xiao'hong'men
旧宫 jiu'gong
亦庄桥 yi'zhuang'qiao
亦庄文化园 yi'zhuang'wen'hua'yuan
万源街 wan'yuan'jie
荣京东街 rong'jing'dong'jie
荣昌东街 rong'chang'dong'jie
同济南路 tong'ji'nan'lu
经海路 jing'hai'lu
次渠南 ci'qu'nan
次渠 ci'qu
四惠 si'hui
四惠东 si'hui'dong
高碑店 gao'bei'dian
传媒大学 chuan'mei'da'xue
双桥 shuang'qiao
管庄 guan'zhuang
八里桥 ba'li'qiao
通州北苑 tong'zhou'bei'yuan
果园 guo'yuan
九棵树 jiu'ke'shu
梨园 li'yuan
临河里 lin'he'li
土桥 tu'qiao
西局 xi'ju
六里桥 liu'li'qiao
莲花桥 lian'hua'qiao
西钓鱼台 xi'diao'yu'tai
车道沟 che'dao'gou
长春桥 chang'chun'qiao
火器营 huo'qi'ying
巴沟 ba'gou
苏州街 su'zhou'jie
海淀黄庄 hai'dian'huang'zhuang
知春里 zhi'chun'li
知春路 zhi'chun'lu
西土城 xi'tu'cheng
牡丹园 mu'dan'yuan
健德门 jian'de'men
安贞门 an'zhen'men
惠新西街南口 hui'xin'xi'jie'nan'kou
芍药居 shao'yao'ju
太阳宫 tai'yang'gong
三元桥 san'yuan'qiao
亮马桥 liang'ma'qiao
农业展览馆 nong'ye'zhan'lan'guan
团结湖 tuan'jie'hu
金台夕照 jin'tai'xi'zhao
双井 shuang'jing
劲松 jin'song
潘家园 pan'jia'yuan
十里河 shi'li'he
分钟寺 fen'zhong'si
成寿寺 cheng'shou'si
石榴庄 shi'liu'zhuang
大红门 da'hong'men
角门西 jiao'men'xi
草桥 cao'qiao
纪家庙 ji'jia'miao
首经贸 shou'jing'mao
望京西 wang'jing'xi
望京 wang'jing
崔各庄 cui'ge'zhuang
马泉营 ma'quan'ying
孙河 sun'he
国展 guo'zhan
花梨坎 hua'li'kan
后沙峪 hou'sha'yu
南法信 nan'fa'xin
石门 shi'men
顺义 shun'yi
俸伯 feng'bo
大钟寺 da'zhong'si
五道口 wu'dao'kou
上地 shang'di
西二旗 xi'er'qi
龙泽 long'ze
回龙观 hui'long'guan
霍营 huo'ying
立水桥 li'shui'qiao
北苑 bei'yuan
光熙门 guang'xi'men
柳芳 liu'fang
积水潭 ji'shui'tan
鼓楼大街 gu'lou'da'jie
安定门 an'ding'men
雍和宫 yong'he'gong
东直门 dong'zhi'men
东四十条 dong'si'shi'tiao
北京站 bei'jing'zhan
前门 qian'men
和平门 he'ping'men
宣武门 xuan'wu'men
长椿街 chang'chun'jie
复兴门 fu'xing'men
阜成门 fu'cheng'men
西直门 xi'zhi'men
二号航站楼 er'hao'hang'zhan'lou
三号航站楼 san'hao'hang'zhan'lou
